subject,Classifier,number of sensors,logloss,participant
5,LDA,10,0.317010146,Able-bodied
5,RDA,10,0.317010146,Able-bodied
5,QDA,10,0.651089563,Able-bodied
5,LDA,11,0.307077134,Able-bodied
5,RDA,11,0.307077134,Able-bodied
5,QDA,11,0.658096302,Able-bodied
5,LDA,12,0.306275498,Able-bodied
5,RDA,12,0.306275498,Able-bodied
5,QDA,12,0.66900876,Able-bodied
5,LDA,13,0.299574266,Able-bodied
5,RDA,13,0.299574266,Able-bodied
5,QDA,13,0.668265891,Able-bodied
5,LDA,14,0.304207331,Able-bodied
5,RDA,14,0.307903842,Able-bodied
5,QDA,14,0.676300742,Able-bodied
5,LDA,15,0.29817582,Able-bodied
5,RDA,15,0.328092958,Able-bodied
5,QDA,15,0.680817946,Able-bodied
5,LDA,16,0.289789636,Able-bodied
5,RDA,16,0.358037962,Able-bodied
5,QDA,16,0.662142447,Able-bodied
6,LDA,1,0.881988313,Able-bodied
6,RDA,1,0.656161602,Able-bodied
6,QDA,1,0.840161884,Able-bodied
6,LDA,2,0.662324493,Able-bodied
6,RDA,2,0.515256844,Able-bodied
6,QDA,2,0.606246107,Able-bodied
6,LDA,3,0.578520526,Able-bodied
6,RDA,3,0.460779869,Able-bodied
6,QDA,3,0.637316281,Able-bodied
6,LDA,4,0.54758125,Able-bodied
6,RDA,4,0.434092314,Able-bodied
6,QDA,4,0.61882132,Able-bodied
6,LDA,5,0.426180963,Able-bodied
6,RDA,5,0.369448983,Able-bodied
6,QDA,5,0.743923458,Able-bodied
6,LDA,6,0.403848116,Able-bodied
6,RDA,6,0.356606904,Able-bodied
6,QDA,6,0.845070016,Able-bodied
6,LDA,7,0.382580069,Able-bodied
6,RDA,7,0.353748925,Able-bodied
6,QDA,7,0.866363358,Able-bodied
6,LDA,8,0.38149911,Able-bodied
6,RDA,8,0.362096998,Able-bodied
6,QDA,8,0.868513299,Able-bodied
6,LDA,9,0.375233141,Able-bodied
6,RDA,9,0.362874507,Able-bodied
6,QDA,9,0.893022843,Able-bodied
6,LDA,10,0.375643529,Able-bodied
6,RDA,10,0.36782242,Able-bodied
6,QDA,10,0.884744667,Able-bodied
6,LDA,11,0.385825776,Able-bodied
6,RDA,11,0.385825776,Able-bodied
6,QDA,11,0.873030001,Able-bodied
6,LDA,12,0.381083512,Able-bodied
6,RDA,12,0.381083512,Able-bodied
6,QDA,12,0.851333646,Able-bodied
6,LDA,13,0.399311365,Able-bodied
6,RDA,13,0.399311365,Able-bodied
6,QDA,13,0.847088218,Able-bodied
6,LDA,14,0.399718327,Able-bodied
6,RDA,14,0.399718327,Able-bodied
6,QDA,14,0.848791518,Able-bodied
6,LDA,15,0.415012049,Able-bodied
6,RDA,15,0.415012049,Able-bodied
6,QDA,15,0.878676477,Able-bodied
6,LDA,16,0.424367572,Able-bodied
6,RDA,16,0.424367572,Able-bodied
6,QDA,16,0.893712914,Able-bodied
7,LDA,1,0.971807002,Able-bodied
7,RDA,1,0.728858211,Able-bodied
7,QDA,1,0.996971913,Able-bodied
7,LDA,2,0.783587774,Able-bodied
7,RDA,2,0.649994524,Able-bodied
7,QDA,2,0.857220312,Able-bodied
7,LDA,3,0.613490232,Able-bodied
7,RDA,3,0.574326612,Able-bodied
7,QDA,3,0.95071435,Able-bodied
7,LDA,4,0.488164914,Able-bodied
7,RDA,4,0.558424662,Able-bodied
7,QDA,4,0.73993812,Able-bodied
7,LDA,5,0.451865139,Able-bodied
7,RDA,5,0.559080033,Able-bodied
7,QDA,5,0.740226068,Able-bodied
7,LDA,6,0.42461892,Able-bodied
7,RDA,6,0.513720343,Able-bodied
7,QDA,6,0.727228647,Able-bodied
7,LDA,7,0.438910477,Able-bodied
7,RDA,7,0.525303176,Able-bodied
7,QDA,7,0.713545921,Able-bodied
7,LDA,8,0.457140047,Able-bodied
7,RDA,8,0.549572488,Able-bodied
7,QDA,8,0.7216859,Able-bodied
7,LDA,9,0.481171536,Able-bodied
7,RDA,9,0.569804039,Able-bodied
7,QDA,9,0.735573025,Able-bodied
7,LDA,10,0.493832357,Able-bodied
7,RDA,10,0.557223143,Able-bodied
7,QDA,10,0.750891599,Able-bodied
7,LDA,11,0.50106317,Able-bodied
7,RDA,11,0.560751027,Able-bodied
7,QDA,11,0.744915583,Able-bodied
7,LDA,12,0.522804535,Able-bodied
7,RDA,12,0.55509417,Able-bodied
7,QDA,12,0.766127754,Able-bodied
7,LDA,13,0.528373581,Able-bodied
7,RDA,13,0.550761289,Able-bodied
7,QDA,13,0.769538681,Able-bodied
7,LDA,14,0.532369333,Able-bodied
7,RDA,14,0.545930578,Able-bodied
7,QDA,14,0.768418198,Able-bodied
7,LDA,15,0.540073553,Able-bodied
7,RDA,15,0.54219835,Able-bodied
7,QDA,15,0.778774091,Able-bodied
7,LDA,16,0.545691533,Able-bodied
7,RDA,16,0.545691533,Able-bodied
7,QDA,16,0.771314199,Able-bodied
8,LDA,1,0.905227638,Able-bodied
8,RDA,1,0.473976543,Able-bodied
8,QDA,1,0.607759164,Able-bodied
8,LDA,2,0.599126271,Able-bodied
8,RDA,2,0.381064276,Able-bodied
8,QDA,2,0.534612498,Able-bodied
8,LDA,3,0.504518245,Able-bodied
8,RDA,3,0.370954979,Able-bodied
8,QDA,3,0.515529412,Able-bodied
8,LDA,4,0.422269726,Able-bodied
8,RDA,4,0.361608474,Able-bodied
8,QDA,4,0.450600281,Able-bodied
8,LDA,5,0.414775462,Able-bodied
